Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females,,
C3010,33,0,0,State - TAMIL NADU  33,Urban,7,465584,239817,225767,424834,219195,205639,424834,219195,205639,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,0,0,State - TAMIL NADU  33,Urban,8,489405,246533,242872,456128,229953,226175,456128,229953,226175,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,0,0,State - TAMIL NADU  33,Urban,9,435691,220378,215313,409780,207669,202111,409780,207669,202111,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,0,0,State - TAMIL NADU  33,Urban,10,562632,291118,271514,514878,266853,248025,514878,266853,248025,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,0,0,State - TAMIL NADU  33,Urban,11,444584,228668,215916,411038,211553,199485,411038,211553,199485,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,0,0,State - TAMIL NADU  33,Urban,12,538239,277733,260506,478211,247035,231176,478211,247035,231176,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,0,0,State - TAMIL NADU  33,Urban,13,510151,255276,254875,443025,222207,220818,443025,222207,220818,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,0,0,State - TAMIL NADU  33,Urban,14,480140,242223,237917,394977,200145,194832,394977,200145,194832,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,0,0,State - TAMIL NADU  33,Urban,15-19,2706707,1364584,1342123,1413044,729823,683221,1163521,597733,565788,174172,85182,88990,61389,39981,21408,13629,6747,6882,333,180,153,,
C3010,33,0,0,State - TAMIL NADU  33,Urban,20-24,2696693,1321856,1374837,419118,240137,178981,103377,57235,46142,265674,151590,114084,37720,24869,12851,11616,6052,5564,731,391,340,,
C3010,33,0,0,State - TAMIL NADU  33,Urban,25-29,2665579,1280678,1384901,43688,29924,13764,0,0,0,24609,16548,8061,10764,7990,2774,7419,4918,2501,896,468,428,,
C3010,33,0,0,State - TAMIL NADU  33,Urban,30-34,2224481,1130079,1094402,12455,7783,4672,0,0,0,6311,3913,2398,2916,1969,947,2528,1511,1017,700,390,310,,
C3010,33,0,0,State - TAMIL NADU  33,Urban,35-59,7710850,3976206,3734644,19103,12161,6942,0,0,0,9132,6062,3070,4308,2601,1707,2984,1962,1022,2679,1536,1143,,
C3010,33,0,0,State - TAMIL NADU  33,Urban,60+,2284652,1119956,1164696,4309,2635,1674,0,0,0,1930,1273,657,1149,645,504,474,286,188,756,431,325,,
C3010,33,0,0,State - TAMIL NADU  33,Urban,Age not stated,266094,138689,127405,5764,3267,2497,0,0,0,3669,1954,1715,1526,996,530,418,228,190,151,89,62,,
C3010,33,1,0,District - Thiruvallur  01,Total,All ages,2754756,1397407,1357349,627929,331887,296042,571500,297124,274376,43186,26100,17086,8393,6016,2377,3639,2109,1530,1211,538,673,,
C3010,33,1,0,District - Thiruvallur  01,Total,0-4,231935,118396,113539,21302,11094,10208,21302,11094,10208,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Total,5,50816,26123,24693,27795,14514,13281,27795,14514,13281,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Total,6,47010,23957,23053,36032,18513,17519,36032,18513,17519,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Total,7,49986,25630,24356,45068,23181,21887,45068,23181,21887,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Total,8,54011,27058,26953,49834,25010,24824,49834,25010,24824,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Total,9,47097,23730,23367,44070,22278,21792,44070,22278,21792,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Total,10,61530,32010,29520,55549,28978,26571,55549,28978,26571,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Total,11,46415,23768,22647,42708,21963,20745,42708,21963,20745,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Total,12,57855,29821,28034,50742,26368,24374,50742,26368,24374,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Total,13,53280,26504,26776,45946,23226,22720,45946,23226,22720,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Total,14,48448,24702,23746,39571,20567,19004,39571,20567,19004,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Total,15-19,272269,140107,132162,124915,68413,56502,104238,56466,47772,14802,8036,6766,4404,3135,1269,1431,759,672,40,17,23,,
C3010,33,1,0,District - Thiruvallur  01,Total,20-24,281817,140622,141195,35496,21833,13663,8645,4966,3679,23592,14720,8872,2108,1537,571,1005,565,440,146,45,101,,
C3010,33,1,0,District - Thiruvallur  01,Total,25-29,279201,135920,143281,4653,3237,1416,0,0,0,2786,1976,810,1002,755,247,678,448,230,187,58,129,,
C3010,33,1,0,District - Thiruvallur  01,Total,30-34,221196,114161,107035,1395,911,484,0,0,0,746,491,255,289,217,72,231,144,87,129,59,70,,
C3010,33,1,0,District - Thiruvallur  01,Total,35-59,741199,383338,357861,2305,1469,836,0,0,0,1018,720,298,478,306,172,241,161,80,568,282,286,,
C3010,33,1,0,District - Thiruvallur  01,Total,60+,198251,95171,103080,406,254,152,0,0,0,150,107,43,93,56,37,27,17,10,136,74,62,,
C3010,33,1,0,District - Thiruvallur  01,Total,Age not stated,12440,6389,6051,142,78,64,0,0,0,92,50,42,19,10,9,26,15,11,5,3,2,,
C3010,33,1,0,District - Thiruvallur  01,Rural,All ages,1254674,629052,625622,280339,149403,130936,265967,139752,126215,10419,7210,3209,2082,1467,615,937,572,365,934,402,532,,
C3010,33,1,0,District - Thiruvallur  01,Rural,0-4,111758,56932,54826,7652,4007,3645,7652,4007,3645,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Rural,5,24054,12372,11682,12517,6576,5941,12517,6576,5941,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Rural,6,22763,11616,11147,18058,9264,8794,18058,9264,8794,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Rural,7,24775,12700,12075,22639,11634,11005,22639,11634,11005,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Rural,8,26975,13509,13466,25004,12588,12416,25004,12588,12416,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Rural,9,23836,12038,11798,22413,11383,11030,22413,11383,11030,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Rural,10,30067,15606,14461,27043,14109,12934,27043,14109,12934,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Rural,11,21963,11151,10812,20303,10393,9910,20303,10393,9910,0,0,0,0,0,0,0,0,0,0,0,0,,
